x_value,FL0_torque,FR0_torque,RL0_torque,RR0_torque,FL1_torque,FR1_torque,RL1_torque,RR1_torque,FL2_torque,FR2_torque,RL2_torque,RR2_torque,FL0_pos,FR0_pos,RL0_pos,RR0_pos,FL1_pos,FR1_pos,RL1_pos,RR1_pos,FL2_pos,FR2_pos,RL2_pos,RR2_pos
13.6,7,8,0,-8,-10,-5,-7,-3,-12,-12,-5,9,0,0,4,-1,1,0,4,2,2,-2,2,0
13.8,6,-4,-9,13,13,3,6,-8,6,11,-13,-5,4,-3,-4,4,-2,0,4,0,-3,-2,-1,-1
14.0,-4,0,-8,2,-6,-3,-11,-5,8,-7,-2,7,-4,3,-3,4,0,2,0,-2,0,3,4,0
14.2,11,-5,6,10,-11,-4,-3,-5,12,-2,2,-4,4,-3,2,-3,4,-1,-4,3,1,0,1,4
14.4,14,13,4,4,9,4,10,-11,9,2,13,0,0,4,3,0,-1,0,-3,2,3,1,-2,3
14.6,14,-1,12,1,-12,-11,10,-13,9,-6,-9,-4,3,3,-4,-4,0,1,4,1,-2,-4,2,-1
14.8,5,6,-10,3,7,4,-12,-9,8,1,-5,5,-2,4,-2,4,-3,3,-1,1,4,-3,-1,-3
15.0,-13,-7,5,-12,6,4,-14,-1,1,8,10,-11,2,4,2,-1,2,3,0,1,3,1,0,2
15.2,-11,-12,-10,-1,2,11,5,-6,8,-6,-1,-7,2,2,-3,0,-3,0,4,1,1,-2,0,-2
15.4,7,12,6,7,6,14,0,9,-4,9,-13,-9,4,-2,0,2,-3,0,3,-3,-4,-4,4,-4
15.6,0,-2,-2,11,-10,-5,4,-13,8,-9,-4,8,4,2,0,-1,-3,0,4,-1,-4,3,-2,0
15.8,0,14,-5,-10,1,13,12,-7,-10,1,5,-7,4,-2,-4,0,-1,1,-3,4,-4,0,4,-2
16.0,12,14,6,-3,3,12,13,11,8,1,9,12,-2,2,-4,-4,2,4,1,-2,3,1,2,1
16.2,0,-12,-7,7,14,-9,8,3,-9,-13,0,12,4,-4,0,-1,-4,1,1,3,-4,-3,4,2
16.4,6,-5,10,4,14,2,-11,-10,1,-9,8,-1,1,3,4,1,4,1,-3,1,1,-2,-3,-3
16.6,-6,13,-7,14,1,-3,7,3,-10,-7,5,6,0,2,3,0,-2,1,0,1,1,-1,2,1
16.8,-4,-1,-9,0,-9,14,0,-6,0,-2,-9,-12,3,0,-1,-3,2,-4,-1,4,-3,1,-3,0
17.0,-7,11,11,-2,-10,-11,-10,9,14,12,13,7,-4,4,-4,1,-2,-3,0,-1,-2,3,-3,-3
17.2,-11,-7,7,4,-1,8,-11,7,9,-4,-1,-13,1,1,4,-2,-1,-1,-3,-1,0,-4,0,-2
17.4,-14,0,1,13,6,5,12,3,-6,-12,-13,-3,-2,-2,0,3,2,-4,-2,4,-3,1,4,-2
17.6,5,-14,-3,-11,14,9,8,-6,-8,-8,-10,-10,4,4,2,-4,3,2,2,-4,4,1,1,0
17.8,-11,-12,10,-4,-1,5,-5,11,11,6,-6,-3,-2,2,3,1,4,-3,-3,-3,0,0,2,-1
18.0,4,-14,12,3,13,-1,2,9,6,-3,0,-14,-2,-2,0,3,2,0,0,0,-4,1,-3,2
18.2,8,10,-12,-8,9,-13,1,6,5,-8,-14,-4,4,-1,-4,-2,2,3,-2,-2,-4,3,0,2
18.4,-13,-2,3,2,-12,4,-9,-6,-5,14,-11,9,-3,3,3,0,-3,-4,3,-4,-2,0,1,3
18.6,14,-1,1,2,-11,11,-9,-4,6,-3,-11,7,3,0,0,2,1,-3,2,-2,-3,-3,-2,1
18.8,-5,-12,13,2,14,-11,4,0,-6,9,-4,13,-4,2,4,4,-4,1,-3,-4,-2,4,4,-4
19.0,-12,9,10,-7,-11,-7,-1,1,-8,-12,9,6,-1,3,4,1,0,3,4,0,-3,4,2,1
19.2,-11,2,2,2,4,-1,-3,5,0,-6,9,1,2,-4,-4,0,3,1,-1,-4,-2,-4,0,-4
19.4,-13,-12,-14,-2,-10,11,2,-5,13,-14,3,-14,-4,3,-2,1,4,-1,1,-4,1,-2,0,1
19.6,8,9,-3,4,14,10,7,7,7,13,-1,-1,-2,2,2,-2,1,-3,-1,0,0,-2,-4,2
19.8,13,-11,11,-5,10,11,4,-11,-14,4,-14,-4,2,4,-4,1,2,-4,-4,4,3,-3,0,-1
20.0,12,-1,7,0,11,3,-13,-8,4,10,-10,7,4,-4,1,-1,3,2,-4,2,0,0,4,-4
20.2,-12,-13,12,2,13,6,10,-8,-2,9,-9,-6,-2,2,-2,2,1,-4,0,-3,0,-1,1,0
20.4,-10,0,-6,-8,-12,-5,3,-10,12,12,7,-3,-1,0,2,-3,3,0,-1,-2,1,-4,-2,0
20.6,-7,-5,-12,-7,-13,6,1,8,-3,9,13,8,1,-1,1,3,-3,-1,1,-4,3,-2,1,2
20.8,6,-10,-12,12,-5,-14,3,1,-3,-10,0,-7,3,-3,1,4,4,3,1,-1,-4,-2,-1,-1
21.0,3,-12,-10,-14,6,10,3,-9,12,11,-8,-8,2,-1,2,0,0,2,1,3,1,0,2,1
21.2,12,13,-5,10,10,-13,-11,-14,9,-10,11,1,-2,-3,2,1,0,4,2,-2,-3,4,1,-2
